aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8086781,Nasreen Enterprises,General,Male,No,Proprietary, 1) Hubby colony Botshah Lalbazar srinagarSRINAGARJAMMU AND KASHMIR,"Hubby colony, Botshah mohalla, Lalbazar ",JAMMU AND KASHMIR,SRINAGAR,190023,15-10-2019,Manufacturing,Micro, 1) 10795; 2) 10736; 3) 10793,6,2,SRINAGAR,23-11-2019,13
8088630,Knowracle Publication & Distribution,General,Female,No,Proprietary, 1) Shop No. 1 Swati Mahajan Bari Brahmna JammuSAMBAJAMMU AND KASHMIR,House No. 15 Lane No. 2 (1st Floor)Marble Enclave Sector 4 Extension Trikuta Nagar,JAMMU AND KASHMIR,JAMMU,180012,01-02-2016,Services,Small, 1) 58111,8,25,JAMMU,23-11-2019,5
7980599,S.K.INDUSTRIES,General,Male,No,Proprietary," 1) - IGC, PHASE III SIDCO SAMBA SAMBASAMBAJAMMU AND KASHMIR","IGC, PHASE III, SIDCO, PHASE III, SAMBA, SAMBA",JAMMU AND KASHMIR,SAMBA,184121,09-11-2019,Manufacturing,Micro, 1) 24109; 2) 31009; 3) 22209,8,25,SAMBA,11-11-2019,624
8006832,MAKHAN CLOTH HOUSE,General,Male,No,Proprietary, 1) 8 VILL-MASHKA DRAMAN BASOHLIKATHUAJAMMU AND KASHMIR,"vill-Mashka,po-hutt",JAMMU AND KASHMIR,KATHUA,184201,01-04-2019,Services,Micro, 1) 96091,1,5,KATHUA,14-11-2019,7
8006002,M/S PERFECT POLYMERS INDUSTRIES,General,Male,No,Partnership, 1) PLOT NO. 85 PHASE III GANGYAL JAMMUJAMMUJAMMU AND KASHMIR,"PLOT NO 85, PHASE III, INDUSTRIAL ESTATE GANGYAL ",JAMMU AND KASHMIR,JAMMU,180010,01-06-2007,Manufacturing,Small, 1) 16109,15,97,JAMMU,14-11-2019,5
8045044,AARAV TRADERS,General,Male,No,Proprietary, 1) DIANI SAMBA SAMBA SAMBASAMBAJAMMU AND KASHMIR,"DIANI, SAMBA, SAMBA, SAMBA, SAMBA",JAMMU AND KASHMIR,SAMBA,184121,18-11-2019,Services,Micro, 1) 85500; 2) 82199,1,3,SAMBA,19-11-2019,624
8084080,M/S MUSKAN TRADERS,General,Female,No,Proprietary, 1) KH NO 445 MODEL TOWN GANGYAL JAMMUJAMMUJAMMU AND KASHMIR,"KH NO 445, MODEL TOWN, OPP TCM STEEL AND WIRE INDUSTRY, GANGYAL, JAMMU",JAMMU AND KASHMIR,JAMMU,180010,24-09-2015,Manufacturing,Micro, 1) 13924; 2) 13923; 3) 13999,4,15,JAMMU,23-11-2019,5
8037256,GUPTA INDUSTRIES,General,Male,No,Partnership, 1) 116 PHASE - II JAMMU JAMMUJAMMUJAMMU AND KASHMIR,"116, PHASE - II, GANGYAL, JAMMU, JAMMU",JAMMU AND KASHMIR,JAMMU,180010,01-04-2000,Manufacturing,Micro, 1) 13924; 2) 13923; 3) 14102; 4) 13931,4,18,JAMMU,18-11-2019,5
8039260,NUSU ENTERPRISES,ST,Male,No,Partnership, 1) 216 TRESPONE KARGIL KARGILSRINAGARJAMMU AND KASHMIR,C/O BSNL OFFICE KARGIL,JAMMU AND KASHMIR,SRINAGAR,194103,01-11-2019,Services,Micro, 1) 95210,2,3,SRINAGAR,18-11-2019,13
8057733,HEALTHWAY DIAGNOSTIC CENTRE,General,Male,No,Proprietary, 1) 0 HEALTHWAY DIAGNOSTIC CENTRE SRINAGAR SRINAGARSRINAGARJAMMU AND KASHMIR,"HEALTHWAY DIAGNOSTIC CENTRE, ZAKURA CROSSING, SRINAGAR",JAMMU AND KASHMIR,SRINAGAR,190024,01-11-2019,Services,Micro, 1) 86100,2,10,SRINAGAR,20-11-2019,13
