aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8017346,ACCOMBLISS PRIVATE LIMITED,General,Male,No,Private Limited Company, 1) SHOP NO 146 SECTOR 36-D CHANDIGARH CHANDIGARHCHANDIGARHCHANDIGARH,"SHOP NO 146, SECTOR 36-D, CHANDIGARH",CHANDIGARH,CHANDIGARH,160036,20-02-2017,Services,Small, 1) 90001; 2) 90002; 3) 90009; 4) 56210; 5) 73100,5,25,CHANDIGARH,15-11-2019,44
8025200,Smile Every Mile,General,Male,No,Proprietary," 1) SCO 2441-2442, Chandigarh Business Center Sector 22 C ChandigarhCHANDIGARHCHANDIGARH","Sco 2441-2442, Ist Floor, Cabin 6, Chandigarh Business Center, Sector 22C, Chandigarh.",CHANDIGARH,CHANDIGARH,160022,03-08-2018,Services,Micro, 1) 79110,2,1,CHANDIGARH,16-11-2019,44
8029011,HOME WORK FACILITY MANAGEMENT,General,Male,No,Proprietary," 1) HOUSE NO. - 3926 IST FLOOR,  NEAR POLICE CHOWKI CHANDIGARH UT CHANDIGARHCHANDIGARHCHANDIGARH"," HOUSE NO. 3926, NEAR POLICE CHOWKI, VILLAGE - MALOYA, U.T., CHANDIGARH - 160025",CHANDIGARH,CHANDIGARH,160025,01-07-2017,Services,Micro, 1) 82990; 2) 74909; 3) 82110; 4) 87900; 5) 96010; 6) 96098; 7) 81210; 8) 81299; 9) 81100; 10) 81300,5,1,CHANDIGARH,16-11-2019,44
8046790,H R ENTERPRISES,General,Male,No,Proprietary, 1) SCO 37 SCO 37 CHANDIGARH CHANDIGARHCHANDIGARHCHANDIGARH,SCO 37 SECTOR 41D CHANDIGARH,CHANDIGARH,CHANDIGARH,160036,15-01-2016,Manufacturing,Micro, 1) 13999,6,10,CHANDIGARH,19-11-2019,44
8045392,COGNITIVE HEALTH TECHNOLOGIES,General,Male,No,Partnership, 1) SHOP NO 3 PLOT NO 166 SARANGPUR CHANDIGARHCHANDIGARHCHANDIGARH,"SHOP NO 3, PLOT NO 166, SARANGPUR, SARANGPUR, CHANDIGARH",CHANDIGARH,CHANDIGARH,160014,03-05-2017,Manufacturing,Micro, 1) 32909,8,25,CHANDIGARH,19-11-2019,44
7981150,HOTEL R.R VILLA,General,Male,No,Proprietary, 1) PLOT NO. 515 OPP.-RAILWAY STATION VILLAGE - DARIYA CHANDIGARHCHANDIGARHCHANDIGARH,"HOTEL R.R.VILLA,PLOT NO-515,GALI NO.-3,VILLAGE-DARIYA,OPP.-RAILWAY STATION,CHANDIGARH",CHANDIGARH,CHANDIGARH,160102,08-02-2019,Services,Micro, 1) 55101,2,4,CHANDIGARH,11-11-2019,44
8007103,DHAN LUXMI NAMKEEN & MATHI,General,Male,No,Proprietary, 1) 1020/ B DHAN LUXMI NAMKEEN AND MATHI CHANDIGARH CHANDIGARHCHANDIGARHCHANDIGARH,"1020/ B,VILLAGE-DHARIA, CHANDIGARH",CHANDIGARH,CHANDIGARH,160101,04-02-2014,Manufacturing,Micro, 1) 10712; 2) 10739,4,4,CHANDIGARH,14-11-2019,44
8041867,M/s FITDRILL ENTERPRISES,General,Male,No,Partnership, 1) HOUSE NO. 3045 SECOND SECTOR- 27D CHANDIGARHCHANDIGARHCHANDIGARH,"HOUSE NO. 3045, SECOND FLOOR, SECTOR- 27D ",CHANDIGARH,CHANDIGARH,160019,11-11-2019,Services,Micro, 1) 85410; 2) 96095,2,1,CHANDIGARH,18-11-2019,44
8042783,APOSTROPHE ARCHITECTURE AND URBAN DESIGN PVT LTD ,General,Male,No,Public Limited Company, 1) House number-113 Sector 28A Chandigarh ChandigarhCHANDIGARHCHANDIGARH,"House Number-113, Sector 28A Chandigarh ",CHANDIGARH,CHANDIGARH,160002,17-01-2008,Services,Micro, 1) 68100,7,10,CHANDIGARH,18-11-2019,44
8045193,SIPRO ENTERPRISES,OBC,Female,No,Proprietary, 1) SCO.189/1 MOTOR MARKET CHANDIGARH CHANDIGARHCHANDIGARHCHANDIGARH,"SCO.189/1 , MOTOR MARKET , 48-C , CHANDIGARH , ",CHANDIGARH,CHANDIGARH,160047,01-04-2018,Services,Micro, 1) 74909,1,1,CHANDIGARH,19-11-2019,44
