aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
265882,Nagar vehicle,OBC,NA,NA,Proprietary,NA,Gram Barkheda Post  Tehsil khilchipura,MADHYA PRADESH,RAJGARH,465689,21/04/2015,Services,Micro, 1) 47739,2,1.00,RAJGHAR,24/02/2016,422
265893,SURESH TRAVEL,General,NA,NA,Proprietary,NA,BEGAMPURA UJJAIN,MADHYA PRADESH,UJJAIN,456001,12/01/2016,Services,Micro, 1) 79110,2,8.00,UJJAIN,24/02/2016,435
265904,BHAGIRATH FLOUR MILL,OBC,NA,NA,Proprietary,NA,HOUSE NO.409 EWS MUKHARJI NAGAR DEWAS,MADHYA PRADESH,DEWAS,455001,07/08/2015,Manufacturing,Micro, 1) 10611,2,5.00,DEWAS,24/02/2016,402
265920,dairy products,OBC,NA,NA,Proprietary,NA,Gram Post Nataram Tahsil khilchipur,MADHYA PRADESH,RAJGARH,465689,23/04/2015,Manufacturing,Micro, 1) 10504,2,1.00,RAJGHAR,24/02/2016,422
265964,MARMAT TRAVEL,General,NA,NA,Proprietary,NA,NARAYAN PURA UJJAIN,MADHYA PRADESH,UJJAIN,456001,08/01/2016,Services,Micro, 1) 79110,2,5.00,UJJAIN,24/02/2016,435
266060,AMIT E-RIKSHAW,ST,NA,NA,Proprietary,NA,BADNAGAR,MADHYA PRADESH,UJJAIN,456001,15/01/2016,Services,Micro, 1) 79110,1,2.00,UJJAIN,24/02/2016,435
266189,Rajni Krana dukan,General,NA,NA,Proprietary,NA,gram hinouti sarra teh. tejgharh,MADHYA PRADESH,DAMOH,470661,16/02/2016,Services,Micro, 1) 96091,1,1.00,DAMOH,24/02/2016,400
266324,IQWAL READYMATE,General,NA,NA,Proprietary,NA,BHARGAV MARG UJJAIN,MADHYA PRADESH,UJJAIN,456001,06/01/2016,Services,Micro, 1) 47711,2,2.00,UJJAIN,24/02/2016,435
266454,ten house,SC,NA,NA,Proprietary,NA,Gram Jatamadi Post Chhapihed Teh.khilchipur,MADHYA PRADESH,RAJGARH,465689,29/04/2015,Services,Micro, 1) 82990,10,10.00,RAJGHAR,24/02/2016,422
266673,MAYUR ENGINEERING,General,NA,NA,Proprietary,NA,A M 11Housing  bord colony sector - 1 pithampur,MADHYA PRADESH,DHAR,454775,24/02/2016,Manufacturing,Micro, 1) 32909,8,6.00,PITHAMPUR ,24/02/2016,403
