aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
190,SHREE INSTITUTION OF COMPUTER EDUCATION SOCIETY,OBC,NA,NA,Proprietary,NA,VILL DHARMANPUR POST JAMALPUR DIST VARANASI  221105,UTTAR PRADESH,VARANASI,NA,19/02/2015,Services,Micro, 1) 85221,5,2.00,VARANASHI,19/10/2015,187
222,Reliable Green ventures pvt ltd(opc),General,NA,NA,Private Limited Company,NA,"Plot no 218, Vill Taraon, Post Danganj, Dist Varanasi 221101",UTTAR PRADESH,VARANASI,NA,06/08/2015,Manufacturing,Micro, 1) 30999,14,18.00,VARANASHI,19/10/2015,187
356,Ridhdhi sidhdhi boutique,General,NA,NA,Proprietary,NA,"Plot number 30, House number B-37/54-B,Giri Nagar Colony,Birdopur,Varanasi-221010",UTTAR PRADESH,VARANASI,NA,10/05/2007,Manufacturing,Micro, 1) 14105,6,1.00,VARANASHI,19/10/2015,187
365,saurabh cold water,General,NA,NA,Proprietary,NA,Village karajahi Post gauri bazarDist Deoria,UTTAR PRADESH,DEORIA,NA,15/04/2013,Manufacturing,Micro, 1) 36000,2,10.00,NULL,01/10/2015,137
369,TARA &amp; COMPANY,SC,NA,NA,Proprietary,NA,"VILL BABERI , POST -SOHILAPUR",UTTAR PRADESH,GHAZIPUR,NA,14/08/2015,Manufacturing,Micro, 1) 43299,10,25.00,NULL,01/10/2015,146
372,kaya care medical store,General,NA,NA,Proprietary,NA,hospital road ward no 5 salempur deoria up,UTTAR PRADESH,DEORIA,NA,02/12/1979,Manufacturing,Micro, 1) 24201,20,2.00,NULL,01/10/2015,137
383,Sharp laboratories Gramodyog Sanstha,General,Male,No,Society, 1) 125 KHADI GRAMODYOG EMPORIUM maheshpur varanasiVARANASIUTTAR PRADESH,"Vill.-Maheshpur,post-industrial estate,varanasi",UTTAR PRADESH,VARANASI,221106,29/11/2002,Manufacturing,Micro, 1) 32909,5,1.00,VARANASHI,19/10/2015,187
387,SHARMA  ENTERPRISE,General,NA,NA,Proprietary,NA,"RAJ KAMAL PARK, NEAR EKTA NAGAR ROORKEE ROAD",UTTAR PRADESH,MEERUT,NA,01/01/2014,Services,Micro, 1) 85500,1,1.00,NULL,02/10/2015,169
397,AddCarts Group,OBC,NA,NA,Others,NA,"102 A Aruna Nagar, Etah",UTTAR PRADESH,ETAH,NA,02/10/2015,Services,Micro, 1) 74909,1,1.00,NULL,02/10/2015,138
400,S.P.S. Enterprises,OBC,NA,NA,Proprietary,NA,"102 A Aruna Nagar, Etah",UTTAR PRADESH,ETAH,NA,02/10/2015,Services,Micro, 1) 74909,1,1.00,NULL,02/10/2015,138
