aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
101508,Safiul Telecom,General,NA,NA,Proprietary,NA,"Vill: Ishwaripur, P.O.: Suryapur, P.S.: Khardah",WEST BENGAL,NORTH 24 PRAGANAS,700121,14/06/2013,Services,Micro, 1) 61900,2,2.00,N. 24- PRAGANAS,21/12/2015,303
101574,M/s Puspakamal Wooden Furnitures,OBC,NA,NA,Proprietary,NA,"9th Mile, Thurbo T.E., Mirik",WEST BENGAL,DARJEELING,734214,15/06/2009,Manufacturing,Micro, 1) 31001,2,1.00,DARJEELING,21/12/2015,309
101660,M/s Suman Dairy Products,OBC,NA,NA,Proprietary,NA,"Batasia Busty, PO: Batasia, PS: Lodhoma, Darjeeling",WEST BENGAL,DARJEELING,734221,18/07/2007,Manufacturing,Micro, 1) 10504,2,1.00,DARJEELING,21/12/2015,309
101760,MASON,General,NA,NA,Proprietary,NA,"VILL-GORAPARA,P.O-HANSRA,P.S-PANRUI",WEST BENGAL,BIRBHUM,731214,25/09/2007,Manufacturing,Micro, 1) 43309,7,3.00,BIRBHUM,21/12/2015,307
101767,S P ENTERPRISE,General,NA,NA,Proprietary,NA,34/C SATKARI MITRA LANE KOLKATA 700054,WEST BENGAL,KOLKOTA,700054,04/06/2008,Manufacturing,Micro, 1) 22199,2,1.00,KOLKOTA,21/12/2015,315
101779,MASON,SC,NA,NA,Proprietary,NA,"VILL-GORAPARA,P.O-HANSRA,P.S-PANRUI",WEST BENGAL,BIRBHUM,731214,02/02/2010,Manufacturing,Micro, 1) 43301,5,1.00,BIRBHUM,21/12/2015,307
101814,HEALTH WOAKER,OBC,NA,NA,Others,NA,VILL- GORAPARAPO-HANSRAPS-PANRUIDIST-BIRBHUM,WEST BENGAL,BIRBHUM,731214,01/01/2010,Manufacturing,Micro, 1) 32909,2,1.00,BIRBHUM,21/12/2015,307
101903,FOOTWEAR SHOP,OBC,NA,NA,Others,NA,"Narasunda, Batikar, PANRUI",WEST BENGAL,BIRBHUM,731121,01/01/2010,Services,Micro, 1) 47713,2,3.00,BIRBHUM,21/12/2015,307
101930,MANTU CYCLE REPAIRING,General,NA,NA,Proprietary,NA,"VILL-CHHATAR BANDI,P.O-HANSRA,P.S-PANRUI",WEST BENGAL,BIRBHUM,731214,18/11/2010,Services,Micro, 1) 45200,2,2.00,BIRBHUM,21/12/2015,307
102128,ODEUR D FLORA,General,NA,NA,Proprietary,NA,"TELI SARAK (BYE LANE) KUNDU LANE, POST BANSBERIA, PS MOGRA, DIST HOOGHLY",WEST BENGAL,HOOGHLY,712502,01/10/2015,Manufacturing,Micro, 1) 20238,3,2.00,HOOGHLY,21/12/2015,312
