aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
5248326,malleswari beauty saloon,General,Female,No,Proprietary, 1) 42-9-9A YASUKRUPA AJITHSING NAGAR VIJAYAWADAKRISHNAANDHRA PRADESH,42-9-9A YASUKRUPA RAITHU BAZAR STREET AJITHSING NAGAR VIJAYAWADA,ANDHRA PRADESH,KRISHNA,520015,01/01/2001,Services,Micro, 1) 96020,1,2.00,KRISHNA,19/09/2018,510
5248461,SRI SIVA SAI COTTON TRADERS,General,Male,No,Proprietary, 1) 19-7-176K C/O TIRUMALA  COTTON  MILL KAMMASESHAIAH GROUND GUNTURGUNTURANDHRA PRADESH,"SRI SIVA SAI COTTON TRADERS,PROP.ANNEM VENKATA NAGA SIVAREDDY,19-7-176K, ETUKURU ROAD,  KAMMASESHAIAH GROUND,GUNTUR,AP",ANDHRA PRADESH,GUNTUR,522003,23/05/2014,Manufacturing,Micro, 1) 01632,9,20.00,GUNTUR,19/09/2018,506
5248534,MUPPIDI RANGANAYAKULU & SONS,General,Male,No,Partnership, 1) 21-32-51 TOWN KOTHA ROAD VISAKHAPATNAM VISAKHAPATNAMVISAKHAPATNAMANDHRA PRADESH,D.NO:21-32-51 TOWN KOTHA ROAD VISAKHAPATNAM,ANDHRA PRADESH,VISAKHAPATNAM,530001,30/07/1949,Services,Small, 1) 35202,11,40.00,VISAKHAPATNAM,19/09/2018,520
5249907,RAVISHANKARA ENGINEERS,OBC,Male,No,Proprietary, 1) Plot No.3 APIIC Industrial Park Naidupeta (Mandal) NaidupetaSPSR NELLOREANDHRA PRADESH,"Plot No.3, APIIC Industrial Park, Menakur Village, Naidupet Mandal,SPSR Nellore Dist",ANDHRA PRADESH,SPSR NELLORE,524421,01/01/2015,Manufacturing,Small, 1) 33190; 2) 25119; 3) 77309,12,125.00,SHRI POTTI SRIRAMULU NELLORE,19/09/2018,515
5250312,DHANALAKSHMI TRANSPORT,SC,Female,No,Proprietary, 1) 0-0 venugopalapuram vedurukuppam vedurukuppamCHITOORANDHRA PRADESH,"0-0,venugopalapuram,vedurukuppam",ANDHRA PRADESH,CHITOOR,517569,21/09/2017,Services,Micro, 1) 49231,2,7.00,CHITOOR,19/09/2018,503
5251436,SRI LAKSHMI SRINIVASA ELECTRICALS,General,Male,No,Proprietary, 1) opp.Hero Honda show Main Road Near Nagendra Nagar OngolePRAKASAMANDHRA PRADESH,"Podili (V&amp;M), Prakasam District.",ANDHRA PRADESH,PRAKASAM,523240,12/05/2013,Manufacturing,Micro, 1) 33132,4,10.00,PRAKASAM,19/09/2018,517
5252039,MADDU PRAKASA RAO,SC,Male,No,Proprietary, 1) D.NO.6-27 PYAPARRU PYAPARRU AMRATHALURGUNTURANDHRA PRADESH,"D.NO.6-27, PYAPARRU VILLAGE, AMRATHALUR MANDAL, GUNTUR DIST,",ANDHRA PRADESH,GUNTUR,522341,23/08/2018,Services,Micro, 1) 49231,2,9.00,GUNTUR,19/09/2018,506
5252253,NAGENDRAMMA TRANSPORT,SC,Female,No,Proprietary, 1) 000 SAIPETA VILLAGE KONDAPURAM MANDAL NELLORESPSR NELLOREANDHRA PRADESH,"SAIPETA VILLAGE, KONDAPURAM MANDAL, NELLORE DIST.",ANDHRA PRADESH,SPSR NELLORE,524201,31/05/2018,Services,Micro, 1) 49231,1,7.00,SHRI POTTI SRIRAMULU NELLORE,19/09/2018,515
5253567,M/S.MAYUR PVC PIPES INDUSTRIES,General,Male,No,Proprietary, 1) PLOT NO.134 Growth Centre BOBBILI vizianagaramVIZIANAGARAMANDHRA PRADESH,"PLOT NO.134, GROWTH CENTRE BOBBILI, VIZIANAGARAM",ANDHRA PRADESH,VIZIANAGARAM,535558,18/09/2018,Manufacturing,Micro, 1) 22207,8,25.00,VIZIANAGARAM,20/09/2018,521
5253572,PRAKRUTHI FOOD INDUSTRY,ST,Male,No,Proprietary, 1) 00 SEETHAMMAPETA ITDA COMPLEX SEETHAMMAPETA SEETHAMMAPETASRIKAKULAMANDHRA PRADESH,GUMMADA VILLAGE AND POST SEETHAMMPETA MANDAL SRIKAKULAM,ANDHRA PRADESH,SRIKAKULAM,532460,19/09/2018,Manufacturing,Micro, 1) 10796,10,10.00,SRIKAKULAM,20/09/2018,519
