aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
7997972,M/s ANGA SISTERS ENTERPRISES,ST,Female,No,Proprietary, 1) W11/F50 F-SECTOR ITANAGAR ITANAGARPAPUM PAREARUNACHAL PRADESH,"W11/F50, F-SECTOR, ITANAGAR, PO: RK MISSION, PS: ITANAGAR",ARUNACHAL PRADESH,PAPUM PARE,791113,15-01-2019,Manufacturing,Micro, 1) 13999,10,19,"CAPITAL COMPLEX, NAHARLAGUN",13-11-2019,237
7987970,ms TT TEXTILE ENTERPRISE,ST,Male,No,Proprietary, 1) g extension g extension g extension naharlagunPAPUM PAREARUNACHAL PRADESH,g extension,ARUNACHAL PRADESH,PAPUM PARE,791110,02-10-2018,Manufacturing,Micro, 1) 13121,4,3,"CAPITAL COMPLEX, NAHARLAGUN",12-11-2019,237
8094231,Devi collection ,SC,Female,No,Proprietary, 1) Malo linggi compound Cheta 2 Lower market RoingLOWER DIBANG VALLEYARUNACHAL PRADESH,Cheta 2,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,792110,03-06-2019,Services,Micro, 1) 96010,1,2,ROING,25-11-2019,235
8148956,M/S L.R AGRO ENTERPRISE,ST,Male,No,Partnership, 1) 00 DUMPORIJO DUMPORIJO DAPORIJOUPPER SUBANSIRIARUNACHAL PRADESH,DUMPORIJO P.O-DUMPORIJO,ARUNACHAL PRADESH,UPPER SUBANSIRI,791122,15/11/2019,Services,Micro, 1) 70200,3,2.00,UPPER SUBANSIRI,02/12/2019,241
8120089,Plaza Restaurant ,General,Male,No,Proprietary, 1) T Chai market tezu Tezu Tezu TezuLOHITARUNACHAL PRADESH,T chai market ,ARUNACHAL PRADESH,LOHIT,792001,07-10-2017,Manufacturing,Micro, 1) 13999,5,5,LOHIT,28-11-2019,234
8187893,M/s RC  ENTERPRISE,ST,Male,No,Proprietary, 1) S/O SANJAY MIJI KHELLONG NAFRA WEST KAMENGWEST KAMENGARUNACHAL PRADESH,hollongi tanagar arunachal pradesh ,ARUNACHAL PRADESH,PAPUM PARE,791113,01-12-2019,Manufacturing,Micro, 1) 33132,10,5,YUPIA,06-12-2019,237
7183670,MERAKI PINES,General,Female,No,Proprietary, 1) E-78 VILLAGE NGORLUNG VILLAGE NGORLUNG EAST SIANGEAST SIANGARUNACHAL PRADESH,"E-78, VILLAGE NGORLUNG,  P.O. RUKSIN,",ARUNACHAL PRADESH,EAST SIANG,791102,01-07-2019,Services,Micro, 1) 74909,2,3,EAST SIANG,19-07-2019,232
7190787,M/S.MUALIN BRICK UNIT,ST,Male,No,Proprietary, 1) RAJANAGAR-II RAJANAGAR-II RAJANAGAR BORDUMSACHANGLANGARUNACHAL PRADESH,"VILL:RAJANAGAR-II, P/O:BORDUMSA, P/O:BORDUMSA,",ARUNACHAL PRADESH,CHANGLANG,792056,12-06-2018,Manufacturing,Micro, 1) 23921,20,6,CHANGLANG,20-07-2019,229
7191485,M/S JS Enterprise,ST,Female,No,Proprietary, 1) HNo.-128 LATHAO Lathao Circle NamsaiNAMSAIARUNACHAL PRADESH,"HNo.-128, NH-52, Lathao",ARUNACHAL PRADESH,LOHIT,792103,15-05-2019,Manufacturing,Micro, 1) 01639,5,12,LOHIT,20-07-2019,234
7192049,M/S Aradhana Enterprise,General,Male,No,Proprietary," 1) HNo. E-40, Block 3 Mahadevpur 3 Mahadevpur NamsaiNAMSAIARUNACHAL PRADESH","HNo. E-40, Block 3, Mahadevpur 3, PMGY Road,	Mahadevpur",ARUNACHAL PRADESH,LOHIT,792103,15-05-2019,Manufacturing,Micro, 1) 01639,5,12,LOHIT,20-07-2019,234
