aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
232932,shree laxmi jwellrs,General,NA,NA,Hindu Undivided Family,NA,arvind kumar jha s/o - mohan jha manupaur madhubani bihar -847223,BIHAR,MADHUBANI,847223,10/02/2008,Manufacturing,Micro, 1) 32111,5,10.00,MADHUBANI,16/02/2016,206
232951,SHANTI KIRANA STORE,OBC,NA,NA,Proprietary,NA,"RASULPUR , BRAHAMPURA, MOTIPUR",BIHAR,MUZAFFARPUR,843111,22/03/2010,Services,Micro, 1) 47211,1,3.00,MUZAFFARPUR,16/02/2016,208
233004,SURABHI COMPULSORIES PRINTING PRESS,OBC,NA,NA,Proprietary,NA,"MAHNADPUR BALMI, MOTIPUR",BIHAR,MUZAFFARPUR,843111,10/02/2016,Manufacturing,Micro, 1) 18119,1,2.00,MUZAFFARPUR,16/02/2016,208
233029,SUNIL MOTER VIKIELS WORK SHOP,OBC,NA,NA,Proprietary,NA,VILL-PILAKHWAR MADHUBANI,BIHAR,MADHUBANI,847211,01/04/2008,Services,Micro, 1) 45200,2,1.00,MADHUBANI,16/02/2016,206
233030,sunil kiran dukan,General,NA,NA,Proprietary,NA,malighat,BIHAR,MUZAFFARPUR,842002,22/08/2013,Services,Micro, 1) 56291,2,1.00,MUZAFFARPUR,16/02/2016,208
233067,Ashok Kumar Sharma,General,NA,NA,Proprietary,NA,"C/o Sri M.P. Sharma, Ashok Nagar, Road 1B, Kankarbagh,Patna Pin:800020",BIHAR,PATNA,800020,16/03/2000,Services,Small, 1) 62020,8,20.00,PATNA,16/02/2016,212
233083,Ram Kirana store,OBC,NA,NA,Proprietary,NA,HARLOCHAN PUR SUKKI,BIHAR,VAISHALI,843114,01/01/2006,Services,Micro, 1) 47219,1,2.00,VAISHALI,16/02/2016,224
233095,SHOES SHOP,SC,NA,NA,Proprietary,NA,VILL- SURAT GANJ SHANTRAVIDASH COLONY MADHUBANI,BIHAR,MADHUBANI,847211,26/02/2000,Services,Micro, 1) 47713,1,1.00,MADHUBANI,16/02/2016,206
233099,Nandni Sringar &amp; General Store,General,NA,NA,Proprietary,NA,"sohpur,ward-11 Narahia",BIHAR,MADHUBANI,847108,13/05/2011,Services,Micro, 1) 47722,1,2.00,MADHUBANI,16/02/2016,206
233105,M/S - DILIP OLD SILVER METAL REFINERY WORKS SHOP,OBC,NA,NA,Proprietary,NA,"MOH - PHAL GALI SONARPATTI, PO - NAWADA,  BLOCK - NAWADA, DIST - NAWADA,",BIHAR,NAWADA,805110,13/02/2016,Manufacturing,Micro, 1) 07295,6,2.00,NAWADA,16/02/2016,210
