aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8018975,OM ISPAT TRADING COMPANY,General,Male,No,Proprietary," 1) HOUSE NO- 18/A BHILAI STEEL COLONY SECTOR-3, BHILAI-1, DURG BHILAIDURGCHHATTISGARH","HOUSE NO- 18/A,BHILAI STEEL COLONY,STREET-8,SECTOR-3, BHILAI-1, DURG,CHHATTISGARH -490001",CHHATTISGARH,DURG,490001,13-11-2019,Manufacturing,Micro, 1) 24109,2,1,DURG,15-11-2019,378
8017475,SILAI WORK,ST,Female,No,Proprietary, 1) BHANDARPUR Bhandrapur BHANDRAPUR donagrgarhRAJNANDAGAONCHHATTISGARH,bhandarpur,CHHATTISGARH,RAJNANDAGAON,491445,23-03-2018,Manufacturing,Micro, 1) 14105,1,1,RAJNANDAGAON ,15-11-2019,388
8016693,maa banjari online point,OBC,Male,No,Proprietary, 1) vyasayik parishar shop no 8 dhaneli 1 raipurRAIPURCHHATTISGARH,vyashyik parisher shop no 8 dhaneli,CHHATTISGARH,RAIPUR,492001,15-08-2019,Services,Micro, 1) 63992,2,1,RAIPUR ,15-11-2019,387
8016194,CLASSYWOMANIYA,General,Female,No,Proprietary, 1) SAI VILA SAI VILA KRANTI NAGAR BILASPURBILASPURCHHATTISGARH,SAI VILA ALOK NIWAS KRANTI NAGAR BILASPUR CHHATTISGARH 495001,CHHATTISGARH,BILASPUR,495001,14-11-2019,Services,Micro, 1) 96020,2,1,BILASPUR,15-11-2019,375
8017132,MANISH AGRWAL & CO.,General,Male,No,Proprietary, 1) 1 SIYARAM TRADING COMPANY AGRASEN CHOWK RAIPURRAIPURCHHATTISGARH,BHAISTAN ROAD AGRASEN CHOWK,CHHATTISGARH,RAIPUR,492001,22-12-2016,Services,Micro, 1) 69201,3,10,RAIPUR ,15-11-2019,387
8018376,MEGHA HAIR DRESAR,OBC,Male,No,Proprietary, 1) NEAR GOVT SCHOOL DHANELI-1 DHANELI-1 RAIPURRAIPURCHHATTISGARH,NEAR GOVT SCHOOL MEGHA HAIR DRESAR DHANELI-1,CHHATTISGARH,RAIPUR,492001,08-02-2000,Services,Micro, 1) 96020,1,1,RAIPUR ,15-11-2019,387
8021662,PARVATI SILAI CENTER,General,Female,No,Proprietary, 1) 01 SHIV NAGAR RAIPUR RAIPURRAIPURCHHATTISGARH,01 SHIV NAGAR HANDI PARA RAIPUR ,CHHATTISGARH,RAIPUR,492001,16-06-2015,Manufacturing,Micro, 1) 14105,3,4,RAIPUR ,15-11-2019,387
8021989,M/S PITAMBAR HALWAI ,General,Male,No,Proprietary, 1) NEAR KALI MANDIR WARD NO. 56 DURG DURGDURGCHHATTISGARH,1038/9 WARD NO. 4 GAYA NAGAR DURG ,CHHATTISGARH,DURG,491001,01-11-2019,Manufacturing,Micro, 1) 10309,5,2,DURG,15-11-2019,378
8022070,B.S.ENGINEERING WORKS,General,Male,No,Proprietary, 1) T P NAGAR KORBA KORBA KORBAKORBACHHATTISGARH,T P NAGAR ,CHHATTISGARH,KORBA,495677,01-04-2017,Manufacturing,Micro, 1) 43309,5,5,KORBA ,15-11-2019,383
8023240,SUMITRA CHAKRADHARI KIRANA STORE,OBC,Female,No,Proprietary, 1) VILL- KALGAON POST- KALGAON KANKER KANKERKANKERCHHATTISGARH,"VILL- KALGAON, DISTT-KANKER, C.G. 494665",CHHATTISGARH,KANKER,494665,01-01-2016,Services,Micro, 1) 56291,1,1,KANKER ,15-11-2019,381
