aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8088902,VIKAS PACKAGING,General,Male,No,Proprietary, 1) FLAT NO.01 SAI SHRUSTI COMPLEX SILVASSA SILVASSADADRA AND NAGAR HAVELLIDADAR AND NAGAR HAVELI,SHOP NO.08 HORIZON RESIDENCY AMLI SILVASSA,DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,396230,07-07-2017,Services,Micro, 1) 14105,10,6,DADRA & NAGAR HAVELLI,23-11-2019,465
8090214,SANDEEP KIRANA STORE,General,Male,No,Proprietary, 1) HOUSE NO.766(1).(10) PATEL PADA RAKHOLI RAKHOLI SILVASSADADRA AND NAGAR HAVELLIDADAR AND NAGAR HAVELI,HOUSE NO.766(1)(10)PATEL PADA.SAYLI ROAD.RAKHOLI.SILVASSA.,DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,396230,05-01-2000,Manufacturing,Micro, 1) 10739,2,1,DADRA & NAGAR HAVELLI,23-11-2019,465
8032474,BABITA FIBRE GLASS,General,Male,No,Private Limited Company, 1) Shed no. 01 b/h HDFC BANK AMLI SILVASSADADRA AND NAGAR HAVELLIDADAR AND NAGAR HAVELI,"Shed no. 01, B/H HDFC Bank, Silvassa, Vapi - Silvassa Road, Amli, Silvassa - 396230.",DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,396230,14-09-2009,Manufacturing,Micro, 1) 22209,8,15,DADRA & NAGAR HAVELLI,17-11-2019,465
7979629,KRISHNA PACKAGING,General,Male,No,Proprietary," 1) SURVEY NO.54/1 RCC BUILDING, GROUND FLOOR &amp; FIRST FLOOR DADRA DADRADADRA AND NAGAR HAVELLIDADAR AND NAGAR HAVELI","SURVEY NO.54/1, RCC BUILDING, GROUND FLOOR AND FIRST FLOOR, VAGHDHARA ROAD, DADRA, 396230, DADRA AND NAGAR HAVELI",DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,396230,09-04-2019,Manufacturing,Micro, 1) 17092; 2) 17099,5,9,DADRA & NAGAR HAVELLI,11-11-2019,465
8058316,MEHEK ENTERPRISE,General,Male,No,Proprietary, 1) KUMBHARWADI POST NAROLI SILVASSA SILVASSADADRA AND NAGAR HAVELLIDADAR AND NAGAR HAVELI,"KUMBHARWADI, POST NAROLI, NAROLI, SILVASSA, DADRA NAGAR HAVELI",DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,396235,15-11-2019,Manufacturing,Micro, 1) 32909,5,1,DADRA & NAGAR HAVELLI,20-11-2019,465
8072014,MOHAN STONE DEPOT PRIVATE LIMITED,General,Male,No,Private Limited Company," 1) S NO. 255/1/7, AT VILLAGE ATHAL SILVASSA DADRA NAGAR HAVELIDADRA AND NAGAR HAVELLIDADAR AND NAGAR HAVELI","S NO. 255/1/7, PLOT NO. 18 AT VILLAGE ATHAL, SILVASSA 396230",DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,396230,04-10-2019,Manufacturing,Small, 1) 23960,21,95,DADRA & NAGAR HAVELLI,21-11-2019,465
8079181,Shree Sainath Transport Co.,General,Male,No,Partnership, 1) House No:301/6 Shree Sainath Transport Co. Silvassa SilvassaDADRA AND NAGAR HAVELLIDADAR AND NAGAR HAVELI,"Booking House No: 301/6, Near Sai Baba Mandir, Silvassa-396230",DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,396230,18-01-2018,Services,Micro, 1) 49231,4,1,DADRA & NAGAR HAVELLI,22-11-2019,465
8127309,SHREE SWAMI TRANSPORT,General,Male,No,Proprietary, 1) FLAT NO A-203 GOVINDA COMMERCIAL COMPLEX SILVASSA SILVASSADADRA AND NAGAR HAVELLIDADAR AND NAGAR HAVELI,FLAT NO A-203 GOVINDA COMMERCIAL COMPLEX BAVISA FALIYA SILVASSA,DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,396230,01-04-2017,Services,Micro, 1) 52293; 2) 32909; 3) 82990,2,5,DADRA & NAGAR HAVELLI,29-11-2019,465
8110974,TEJAS COMMUNICATION,General,Male,No,Proprietary, 1) SHOP NO 1 NEAR JALARAM TEMPLE NAKA SILVASSADADRA AND NAGAR HAVELLIDADAR AND NAGAR HAVELI,"SHOP NO 1 NEAR JALARAM TEMPLE,KILAVNI NAKA,SILVASSA 396230.",DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,396230,01-04-2019,Services,Micro, 1) 61900,2,2,DADRA & NAGAR HAVELLI,27-11-2019,465
8192698,KAMALESH SAMNIWALA,General,Male,No,Proprietary, 1) PLOT NO 21 SHEETAL INDUSTRIAL ESTATE DADRA VAIA VAPIDADRA AND NAGAR HAVELLIDADAR AND NAGAR HAVELI,"PLOT NO 21, SHEETAL INDUSTRIAL ESTATE , SURVEY NO 260/P, DADRA ,VAIA VAPI ,396193",DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,396193,01-04-2018,Manufacturing,Micro, 1) 13997,4,5,DADRA & NAGAR HAVELLI,07-12-2019,465
