aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8048921,SIMRAN TECHNOLOGIES,General,Female,No,Proprietary, 1) 73 NEW MANGLAPURI DELHI DELHISOUTH WESTDELHI,73 NEW MAGLAPURI NEAR ANDHERIA MORE ,DELHI,SOUTH WEST,110030,22-08-2017,Services,Small, 1) 96010; 2) 33200,15,25,DELHI,19-11-2019,84
8049229,CREATIVE DESIGN INDIA,General,Male,No,Proprietary," 1) 487/62, NATIONAL MARKET, PASCHIM VIHAR DELHIWESTDELHI","487/62,, NATIONAL MARKET, SHEEESE WALI GALI, , PEERAGARHI, PASCHIM VIHAR, DELHI",DELHI,WEST,110087,19-11-2004,Services,Micro, 1) 74109,9,2,DELHI,19-11-2019,85
8046789,KHUSHI NON WOVENS BAGS,General,Male,No,Proprietary, 1) WZ 407 B/1 BESAI DARAPUR DELHI NEW DELHIWESTDELHI,"WZ 407 B/1 BASAI DARAPUR, NEW DELHI 110015",DELHI,WEST,110015,10-11-2019,Services,Micro, 1) 96098,1,2,DELHI,19-11-2019,85
8046821,SHIVYA SERVICES,General,Male,No,Proprietary," 1) SHOP NO-2 GROUND FLOOR, PLOT NO 700 MUNDKA DELHIWESTDELHI","SHOP NO-2, GROUND FLOOR, PLOT NO 700, SAINI VIHAR, MUNDKA DELHI - 110041",DELHI,WEST,110041,07-03-2019,Services,Micro, 1) 78300,10,3,DELHI,19-11-2019,85
8045419,SUPREME FINISHING,General,Male,No,Proprietary, 1) RZ-108 C GROUNDFLOOR Mahindra Park uttam nagar New DelhiWESTDELHI,wz 91 B near metro pillar no. 430,DELHI,WEST,110027,19-06-1995,Services,Micro, 1) 13131,9,1,DELHI,19-11-2019,85
8045486,SEA GATE FACILITY MANAGEMENT PRIVATE LIMITED,General,Male,No,Private Limited Company," 1) 3rd Flr,Office No D3 Major Nahar Singh Complex, Khasra No-50, Old Gurga Kapashera,South West Delhi NEW DELHISOUTH WESTDELHI","3rd Floor, Office No-D-3, Major Nahar Singh Complex, Khasra No-50, Old Gurgaon Road, Opposite Fun and Food Village, Kapashera,South West Delhi, NEW DELHI",DELHI,SOUTH WEST,110037,03-11-2014,Services,Micro, 1) 80200; 2) 96098; 3) 78100,150,1,DELHI,19-11-2019,84
8045644,Re-Live Yoga,General,Male,No,Partnership, 1) A-119 yojna vihar yojna vihar New delhiEASTDELHI,"A-119, yojna vihar, yojna vihar, yojna vihar, New delhi",DELHI,EAST,110092,05-05-2015,Services,Micro, 1) 79120; 2) 79110,1,1,DELHI,19-11-2019,78
8045647,AROWANA DIGITAL SERVICES LLP,OBC,Male,No,Limited Liability Partnership," 1) A 120/2 F/F FLAT NO SHAHEEN,BAGH,ABULFAZAL PART 2 NEW DELHI DelhiSOUTH DELHI","A 120/2 F/F FLAT NO 102 SHAHEEN,BAGH,ABULFAZAL PART 2,OKHLA NEAR JAMIA N AGAR",DELHI,SOUTH ,110025,19-08-2019,Services,Micro, 1) 62012; 2) 62099,1,1,DELHI,19-11-2019,83
8046062, ASHOKA ELECTRIC WORKS PRIVATE LIMITED,General,Male,No,Private Limited Company, 1) 109 CCA FIRST FLOOR EMPIRE PLAZA MEHRAULI SULTAN PUR NEW DELHINEW DELHIDELHI,109 CCA FIRST FLOOR EMPIRE PLAZA MEHRAULI GURGAON ROAD SULTAN PUR NEW DELHI-110030,DELHI,NEW DELHI,110030,23-01-2012,Services,Small, 1) 82990,27,25,DELHI,19-11-2019,79
8047886,HYDERABAD TRADE EXPOCENTRE PRIVATE LIMITED,General,Female,No,Private Limited Company, 1) HOTEL LAKEVIEW EXPOTEL HYDERABAD HYDERABADHYDERABADTELANGANA,"I-83, LAJPAT NAGAR-II, NEW DELHI - 110024",DELHI,SOUTH ,110024,23-12-2002,Services,Medium, 1) 55101; 2) 55902; 3) 56101; 4) 56210; 5) 56292; 6) 56301; 7) 82300; 8) 82110,31,250,DELHI,19-11-2019,83
