aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8016495,Iggy One Man Band,General,Male,No,Proprietary, 1) H No. 31 - Zambaulim moll QuepemSOUTH GOAGOA,"H No. 31, Zambaulim moll, Quepem Goa- 403705",GOA,SOUTH GOA,403705,15-03-2016,Services,Micro, 1) 82990,1,2,GOA,15-11-2019,552
8023157,CONSISTENT INFRA AND POWER PRIVATE LIMITED,General,Male,No,Private Limited Company, 1) 285/9 EKTA NAGAR BARDEZ MAPUSANORTH GOAGOA,285/9 EKTA NAGAR HOUSING BOARD MAPUSA BARDEZ,GOA,NORTH GOA,403507,01-04-2018,Services,Small, 1) 43219,2,35,GOA,15-11-2019,551
8025925,Trimark System Integrators,General,Male,No,Partnership, 1) OS-13 Sapna Gardens Bardez PorvorimNORTH GOAGOA,OS-13 Sapna Gardens Chogham road Porvorim Bardez  403501,GOA,NORTH GOA,403501,01-07-2019,Services,Small, 1) 43211; 2) 43229; 3) 43214; 4) 71100; 5) 82990,3,25,GOA,16-11-2019,551
8029642,maritime concepts,General,Male,No,Proprietary, 1) 505 Lotus terraces Gogol MargaoSOUTH GOAGOA,"505, Lotus terraces ,opp Sony showroomVidyanagar gogol Margao",GOA,SOUTH GOA,403602,01-04-2000,Services,Micro, 1) 74909,5,5,GOA,16-11-2019,552
8030809,Hoprz,General,Male,No,Proprietary, 1) Milroc TV-4 Reis Magos GOANORTH GOAGOA,"Milroc, TV-4, Reis Magos, Goa- 403109, TV-4, Reis Magos, Reis Magos, GOA",GOA,NORTH GOA,403109,01-11-2019,Services,Micro, 1) 79110; 2) 79120,5,8,GOA,16-11-2019,551
8048772,R.B.KADAM CONSTRUCTIONS,General,Male,No,Proprietary, 1) 45 AKANSHA BUILDING SOUTH GOA SOUTH GOASOUTH GOAGOA,"45, AKANSHA BUILDING, AQUEM ALTO MARGAO",GOA,SOUTH GOA,403601,01-02-2019,Manufacturing,Micro, 1) 42909; 2) 23955; 3) 41003,10,20,GOA,19-11-2019,552
8089894,Poixe Plus,General,Male,No,Proprietary, 1) SHOP NO 129 A SIRLIM DANDVADDO SALCETE MARGAOSOUTH GOAGOA,"SHOP NO 129 A, SIRLIM-DANDVADDO SALCETE",GOA,SOUTH GOA,403725,08-09-2017,Services,Micro, 1) 66309,3,3,GOA,23-11-2019,552
8087402,DREAM KRAFTERS,General,Female,No,Proprietary," 1) 19/111/5B ,SHOP -9 KAMATS MARAO KENNY COMPLEX CARANZALEM PANJIMNORTH GOAGOA","19/111/5B , SHOP -9 ,KAMATS MARAO KENNY COMPLEX,CARANZALEM ROAD, CARANZALEM,NORTH GOA -403002",GOA,NORTH GOA,403002,24-08-2019,Services,Small, 1) 74102,4,25,GOA,23-11-2019,551
7966077,SHREE GANESH INDUSTRIES,SC,Male,No,Proprietary, 1) PLOT NO. 63 PILERNE INDUSTRIAL ESTATE INDUSTRIAL ESTATE BARDEZNORTH GOAGOA,FLAT NO F/2 FIRST. FLOOR SHRUTIKA RESIDENCY NEAR COURT MAPUSA,GOA,NORTH GOA,403507,01-04-2019,Manufacturing,Small, 1) 96098,10,40,GOA,08-11-2019,551
7982367,KENI MARKETING,General,Male,No,Proprietary, 1) - ASSOLNA SALCETE.GOA GOASOUTH GOAGOA,"ASSOLNA, SALCETE.GOA,403701",GOA,SOUTH GOA,403701,11-04-2002,Services,Small, 1) 82990,12,75,GOA,11-11-2019,552
