aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
1573765,VIJAY TRADERS,General,NA,NA,Proprietary,NA,"55,  KARTIK NAGAR, OPP. NAROL COURT, NAROL",GUJARAT,AHMADABAD,382405,01/04/2016,Services,Micro, 1) 47591,5,5.00,AHMEDABAD,06/10/2016,438
1573927,SHRI KHODIYAR TRADERS,General,NA,NA,Proprietary,NA,"A1/107,OMKAR RESIDENCY,OPP KALPTARU RESI,B/H RAJDHANITENA.NIRANT CHOKDI,VASTRA,AHMEDABAD-382418",GUJARAT,AHMADABAD,382418,06/10/2016,Services,Micro, 1) 47890,1,1.00,AHMEDABAD,06/10/2016,438
1573957,NAVPAD TEXTILES,General,NA,NA,Hindu Undivided Family,NA,"DINESHKUMAR MAYACHAND SAHA HUF, 28, CHINTAMANI SOCIETY, HIGHWAY ROAD, ACHER, RAMNAGAR, SABARMATI",GUJARAT,AHMADABAD,380005,01/04/2016,Services,Micro, 1) 46411,2,5.00,AHMEDABAD,06/10/2016,438
1573973,RANDAL TRAVELS,General,NA,NA,Proprietary,NA,"SHOP No. 03, GROUND FLOOR,  AKSHARDEEP SHOPING CENTER, VED ROAD, SURAT",GUJARAT,SURAT,395004,20/08/2008,Services,Small, 1) 79110,5,20.00,SURAT,06/10/2016,459
1574039,JAY AMBE CARTING,General,NA,NA,Proprietary,NA,"DASHAMAN FALIYA, BHADA, VALAK, TA-KAMREJ, DIS-SURAT",GUJARAT,SURAT,395008,16/05/2014,Services,Micro, 1) 46632,5,10.00,SURAT,06/10/2016,459
1574055,VINUBHAI GIRDHARBHAI MANGUKIYA,General,NA,NA,Proprietary,NA,"PLOT NO:-38, PATEL IND. SER SOCIETY, B/H. PANDOL IND. SOCIETY, VED ROAD, SURAT.",GUJARAT,SURAT,395004,18/03/2011,Manufacturing,Micro, 1) 13991,6,12.00,SURAT,06/10/2016,459
1574195,MAHADEV ELECTRONIC,General,NA,NA,Proprietary,NA,"SHOP NO.1, BLOCK NO.2, ARJU COPMLEX, JOLVA, VAGRA",GUJARAT,BHARUCH,392001,10/06/2011,Services,Micro, 1) 46529,1,5.00,BHARUCH,06/10/2016,442
1574302,Mulchandani Komalben Sureshkumar,General,NA,NA,Proprietary,NA,"80/4, GIDC Estate, Modern Bakeries Road, Nr V Trans, Naroda GIDC, Ahmedabad. 382330",GUJARAT,AHMADABAD,382330,15/09/2016,Manufacturing,Micro, 1) 32909,20,25.00,AHMEDABAD,06/10/2016,438
1574337,KESHAR BHAVANI TRADERS,General,NA,NA,Proprietary,NA,"H-12 SAMATA SOCIETY , KESHAVNAGAR , NEAR  RTO CIRCLE, SUBHASHBRIDGE ,AHMEDABAD CITY",GUJARAT,AHMADABAD,380027,03/10/2016,Manufacturing,Micro, 1) 28299,1,1.00,AHMEDABAD,06/10/2016,438
1574438,Zodiac global,General,NA,NA,Partnership,NA,"Block B-15 b colony, phase 1 opp hitesh enterprise, g.i.d.c. naroda Ahmedabad -382330",GUJARAT,AHMADABAD,382330,29/03/2013,Manufacturing,Micro, 1) 20297,2,20.00,AHMEDABAD,06/10/2016,438
