aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
5197223,GUNJAN SHUTTERING STORE,OBC,Male,No,Proprietary," 1) WARD NO.11 GUNJAN SHUTTERING STORE, NARAINGARH NARAINGARH NARAINGARHAMBALAHARYANA","GUNJAN SHUTTERING STORE, NARAINGARH",HARYANA,AMBALA,134203,01/07/2018,Services,Micro, 1) 77308,2,5.00,AMBALA,10/09/2018,58
5197341,NANDI OIL MILL,General,Female,No,Proprietary, 1) 114 DURJANPUR KAJLAN ROAD KAJLAN ON KAJLAN ROAD HISSARHISARHARYANA,114 DURJANPUR KAJLAN ROAD HISARVILLAGE DURJANPUR,HARYANA,HISAR,125052,31/08/2018,Manufacturing,Micro, 1) 10801,8,11.00,HISAR,10/09/2018,63
5197395,SHAKTI FEED,General,Male,No,Partnership, 1) VILLAGE DANAULI ROAD ASSANDHKARNALHARYANA,VILLAGE  DANAULI TEHSIL ASSANDH ,HARYANA,KARNAL,132039,07/09/2018,Manufacturing,Small, 1) 10802,12,225.00,KARNAL,10/09/2018,67
5197445,DCC BUILDCON PRIVATE LIMITED,General,Male,No,Private Limited Company, 1) DHULL NIWAS BTM ROAD BHIWANI BHIWANIBHIWANIHARYANA; 2) M/S SUGANDHA GROUP H DHIRANA ROAD HALWAS BHIWANIBHIWANIHARYANA,"DHULL NIWAS, B T M ROAD",HARYANA,BHIWANI,127021,01/09/2018,Manufacturing,Micro, 1) 32909; 2) 27900; 3) 43213; 4) 35105,1,24.00,BHIWANI,10/09/2018,59
5197815,RAM NIVAS SHUTTERING STORE,General,Male,No,Proprietary, 1) gali prabhuta nand NEAR PRABHUTA ASHRAM rohtak ROHTAKROHTAKHARYANA,NEAR PRABHUTA ASHRAM JAGDISH COLONY ROHTAK 124001,HARYANA,ROHTAK,124001,31/12/2014,Manufacturing,Micro, 1) 81100,10,15.00,ROHTAK,10/09/2018,73
5198053,MALIK AUTO STORE,General,Male,No,Proprietary, 1) 1 Old Rohtak Road SONIPAT SonepatSONIPATHARYANA,1 Old Rohtak Road Sonipat,HARYANA,SONIPAT,131001,09/09/2017,Services,Micro, 1) 32909,5,5.00,SONIPAT,10/09/2018,75
5198494,Pavni food court,General,Male,No,Proprietary, 1) On Asan Thirana Road Mahayudinpur Thirana Mahayudinpur Thirana PanipatPANIPATHARYANA,Village Mahayudinpur Thirana,HARYANA,PANIPAT,132113,01/01/2018,Services,Micro, 1) 56292,3,2.00,PANIPAT,10/09/2018,71
5198961,Sonia Stamp & stationary,SC,Female,No,Proprietary, 1) 80 Jiwan nagar part 2 Masjid. FaridabadFARIDABADHARYANA,Jiwan nagar part 2  sohna road peer baabaBALLABGARH,HARYANA,FARIDABAD,121004,04/10/2017,Services,Micro, 1) 61101,1,1.00,FARIDABAD,10/09/2018,60
5199396,SONI GENRAL STORE,General,Male,No,Proprietary, 1) SONI GENRAL STORE MAHAVIR MARG NARNAUL NARNAULMAHENDRAGARHHARYANA,SONI GENRAL STORE MAHAVIR MARG NARNAUL,HARYANA,MAHENDRAGARH,123001,01/08/2018,Services,Micro, 1) 74909,2,10.00,Narnaul,11/09/2018,69
5199575,Shree Jee Tiles,General,Male,No,Proprietary, 1) - Shree Jee Tiles Bahadurgarh jhajjarJHAJJARHARYANA,"13/864, Nitin Sharma, 13/864, Lane No-3, Vijay Nagar, Ballour road, near govt College, Bahadurgarh, Bahadurgarh, Jhajjar",HARYANA,JHAJJAR,124507,26/12/2008,Manufacturing,Small, 1) 23952; 2) 42909; 3) 23923,15,85.00,Bahadurgarh,11/09/2018,64
