aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
111331,HIND OPTICAL,General,NA,NA,Proprietary,NA,"City Center, sec.-4, Bokaro",JHARKHAND,BOKARO ,827004,06/11/2014,Manufacturing,Micro, 1) 23109,3,1.00,BOKARO ,28/12/2015,322
111339,thakur Enterprises,OBC,NA,NA,Proprietary,NA,C/O niranjan prasad h.no:- 896 Mp sinha lane dahu toli kanke road ranchi jharkhan pin :- 834008,JHARKHAND,RANCHI ,834008,28/12/2015,Services,Micro, 1) 61900,2,1.00,RANCHI ,28/12/2015,339
112534,SAIF ENTERPRISES,OBC,NA,NA,Proprietary,NA,NEW PINDER GORYAPO - CHASPS - CHAS,JHARKHAND,BOKARO ,827013,10/06/2015,Services,Micro, 1) 96092,5,3.00,BOKARO ,28/12/2015,322
113646,KHAWAZA GARIB NAWAZ MAHILA SAMITI,OBC,NA,NA,Co-Operative,NA,"MANMOHAN SINGH CO-OPERATIVE COLLONY PLOT NO.461PO-SECTOR12, PS-SECTOR12",JHARKHAND,BOKARO ,827012,18/07/2008,Manufacturing,Micro, 1) 32909,5,2.00,BOKARO ,29/12/2015,322
115143,JINDAL SAREE,General,NA,NA,Proprietary,NA,"86 L, Appana Line, Sakchi market, Sakchi, Jamshedpur",JHARKHAND,EAST SINGHBHUM,831001,01/06/2014,Services,Small, 1) 47820,5,30.00,EAST SINGHBHUM,29/12/2015,327
115555,SIYA RAM PAPER,General,NA,NA,Proprietary,NA,"BANDHDIH, BALIYAPUR ROAD, GOVINDPUR",JHARKHAND,DHANBAD,828109,10/11/2014,Manufacturing,Micro, 1) 17093,4,4.00,DHANBAD,29/12/2015,325
115557,M/S HINDUSTAN ENGINEERING WORKS (HEMM REPAIRING),OBC,Male,No,Proprietary, 1) MAIN ROAD KARGALI PHUSRO BOKAROBOKARO JHARKHAND,"AT- KARGALI POST- PHUSRO,",JHARKHAND,BOKARO ,829102,29/12/2015,Services,Micro, 1) 45200,3,2.00,BOKARO ,29/12/2015,322
115736,SUSHANT MOBILE SHOP &amp;ELECTRONIC REPAIRING,OBC,NA,NA,Proprietary,NA,BARHI KONRA HAZARIBAGH,JHARKHAND,HAZARIBAG ,825405,16/11/2012,Manufacturing,Micro, 1) 33140,1,1.00,HAZARIBAG ,30/12/2015,332
116560,AMAN ENTERPRISES,General,NA,NA,Proprietary,NA,"VILLAGE - GORE, PO - NAGRA, PS - MANDAR",JHARKHAND,RANCHI ,835205,08/10/2015,Services,Small, 1) 87300,5,50.00,RANCHI ,30/12/2015,339
116628,RAMAN CONFECTIONERY,General,NA,NA,Proprietary,NA,"Katrash Road, Matkuria, Dhanbad",JHARKHAND,DHANBAD,826001,10/11/2015,Manufacturing,Micro, 1) 10732,8,5.00,DHANBAD,30/12/2015,325
