aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
1012121,S R INDUSTRIES,General,NA,NA,Proprietary,NA,"No.21, 1st Floor, Sy. No. 92/1, Gerupalya, Kumbalgud, Bangalore",KARNATAKA,BENGALURU (RURAL),560074,17/06/2016,Manufacturing,Micro, 1) 15201,9,18.00,BANGALORE (RURAL),12/07/2016,526
1012136,N.R.I. Furniture,OBC,NA,NA,Proprietary,NA,"No.423, Mahadevpura Main Road, Shanthinagar, Mysuru.",KARNATAKA,MYSURU,570019,08/03/2013,Manufacturing,Micro, 1) 31001,5,8.00,MYSORE,12/07/2016,545
1012154,TULAJA BHAVANI ELECTRICAL SHOP,SC,NA,NA,Proprietary,NA,"NO.19, C CROSS, 1ST MAIN ROAD, SRIGANDHANAGAR MAIN ROAD, HEGGANALLI, PEENYA LIND STAGE, BENGALURU",KARNATAKA,BENGALURU (URBAN),560091,01/06/2016,Services,Small, 1) 47594,15,25.00,BANGALORE (URBAN),12/07/2016,525
1012180,SHEKAR CENTRING WORKS,SC,NA,NA,Proprietary,NA,"NO.240, 2ND MAIN, 1ST CROSS, HESARAGHATTA MAIN ROAD, NAGASANDRA (P), BANGALORE",KARNATAKA,BENGALURU (URBAN),560073,01/06/2016,Manufacturing,Micro, 1) 43299,10,25.00,BANGALORE (URBAN),12/07/2016,525
1012199,Attar Tailoring shop,OBC,NA,NA,Proprietary,NA,W/o: Dastagir Attar Galli Raybag Belagavi,KARNATAKA,BELAGAVI,591317,24/07/2000,Manufacturing,Micro, 1) 13122,1,1.00,BELGAUM,12/07/2016,527
1012222,S. S. PLASTIC,General,NA,NA,Proprietary,NA,"ISHWAR NAGAR BY PAS BRIDGE, NEAR TOLGATE SERVICE ROAD, OLD HUBLI, HUBLI",KARNATAKA,DHARWAD,580024,20/05/2013,Services,Micro, 1) 46693,2,4.00,DHARWAD,12/07/2016,536
1012530,REAL PRO ENGINEERING PRODUCTS PVT LTD,General,NA,NA,Private Limited Company,NA,"No. A 360, 1ST MAIN ROAD, 1ST STAGE PEENYA INDUSTRIAL AREA BANGALORE -560 058",KARNATAKA,BENGALURU (RURAL),560058,29/07/2010,Manufacturing,Micro, 1) 28223; 2) 28229; 3) 28299,8,15.00,BANGALORE (RURAL),12/07/2016,526
1012715,CENTRE FOR HUMAN HABITAT,General,NA,NA,Proprietary,NA,No 26/1 3RD MAIN HOSAPALYA BOMMANAHALLI POST BANGALORE,KARNATAKA,BENGALURU (URBAN),560068,02/05/2016,Services,Micro, 1) 71100,3,5.00,BANGALORE (URBAN),13/07/2016,525
1012835,M/s P. R ENTERPRISES,General,NA,NA,Proprietary,NA,"No.411, K.NARAYANAPURA MAIN ROAD, NEAR KRISTU JAYANTHI COLLEGE, K.NARAYANAPURA , BANGALORE",KARNATAKA,BENGALURU (URBAN),560077,01/07/2016,Services,Micro, 1) 45200; 2) 45300; 3) 45401; 4) 45402; 5) 45403; 6) 68100; 7) 68200; 8) 77100,5,7.00,BANGALORE (URBAN),13/07/2016,525
1012929,KOHINOOR WOODS,OBC,NA,NA,Proprietary,NA,"NO 933 OPP FOREST RANGE OFFICE KOLAR MAIN ROAD KARAHALLI, BANGARPET",KARNATAKA,KOLAR,563114,12/07/2016,Manufacturing,Micro, 1) 31001; 2) 31009,10,25.00,KOLLAR,13/07/2016,542
