aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8018693,M/S PINK ENTERPRISE,General,Female,No,Proprietary," 1) 00 THANGMEIBAND B.G. SHOPPING CENTER, OPP. D.M. COLLEGE GATE IMPHALIMPHAL WESTMANIPUR",THANGMEIBAND,MANIPUR,IMPHAL WEST,795001,09-02-2016,Manufacturing,Micro, 1) 14101,10,5,IMPHAL WEST,15-11-2019,256
8017006,Shubon Enterprise,OBC,Male,No,Proprietary, 1) Chanam Sandrok Leikai ImphalIMPHAL EASTMANIPUR,Chanam Sandrok Bamon Leikai,MANIPUR,IMPHAL EAST,795008,02-02-2017,Services,Micro, 1) 10614; 2) 20237,2,3,IIMPHAL EAST,15-11-2019,255
8028075,M/S. REENA WHOLESALE & SUPPLIER,General,Female,No,Proprietary, 1) BRAHMAPUR CHUNGKHAM LEIKAI BRAHMAPUR IMPHALIMPHAL EASTMANIPUR,BRAHMAPUR CHUNGKHAM LEIKAI,MANIPUR,IMPHAL EAST,795001,10-10-2016,Manufacturing,Micro, 1) 14105; 2) 32909,25,8,IIMPHAL EAST,16-11-2019,255
8028328,M/S. Mahendi Tailoring,General,Female,No,Proprietary, 1) N/A Tarahei Konjil Heiyanthang ImphalIMPHAL WESTMANIPUR,"Tarahei Konjil, Heiyanthang",MANIPUR,IMPHAL WEST,795009,01-02-2017,Manufacturing,Micro, 1) 14101,5,2,IMPHAL WEST,16-11-2019,256
8048348,M/s. RR AGENCY,General,Female,No,Proprietary," 1) 146 SINGJAMEI WANGMA KSHETRI LEIKAI, PUKHRAMBAM LEIRAK SINGJAMEI WANGMA KSHETRI LEIKAI, PUKHRAMBAM LEIRAK IMPHALIMPHAL EASTMANIPUR","SINGJAMEI WANGMA KSHETRI LEIKAI, PUKHRAMBAM LEIRAK",MANIPUR,IMPHAL EAST,795001,14-03-2012,Services,Small, 1) 82990; 2) 71100; 3) 22204; 4) 95111; 5) 20299,10,20,IIMPHAL EAST,19-11-2019,255
8086558,M/S Angolei Saw Mill,General,Male,No,Proprietary, 1) Nill Wangoo Sandangkhong Leikai Wangoo Sandangkhong Leikai KakchingTHOUBALMANIPUR,Wangoo Sandangkhong Leikai	,MANIPUR,THOUBAL,795103,15-09-2018,Services,Micro, 1) 16109,5,10,THOUBAL,23-11-2019,259
8090963,Dina kamei,ST,Female,No,Proprietary, 1) Noney Longmai Longmai Bazar ImphalNONEYMANIPUR,Longmai,MANIPUR,TAMENGLONG,795159,02-07-2019,Services,Micro, 1) 33121,2,1,TAMENGLONG,24-11-2019,258
8088823,M/S DOREN FREEWAY,General,Male,No,Proprietary," 1) 00 KWAKEITHEL BAZAR, NEAR TRAFFIC POINT KWAKEITHEL BAZAR, NEAR TRAFFIC POINT IMPHAL WESTIMPHAL WESTMANIPUR","KWAKEITHEL BAZAR, NEAR TRAFFIC POINT	",MANIPUR,IMPHAL WEST,795001,02-02-2015,Manufacturing,Micro, 1) 14101; 2) 96092; 3) 74101; 4) 13139; 5) 31002,20,10,IMPHAL WEST,23-11-2019,256
8090646,Friends enterprises,General,Male,No,Proprietary, 1) Singjamei Top Leikai Singjamei Singjamei Bazar ImphalIMPHAL WESTMANIPUR,Singjamei Top Leikai,MANIPUR,IMPHAL WEST,795008,06-08-2018,Manufacturing,Micro, 1) 14301,25,15,IMPHAL WEST,24-11-2019,256
7964337,M/S NEINU GENERAL STORE,ST,Female,No,Proprietary, 1) KANGPOKPI KANGPOKPI WARD NO. 8 KANGPOKPI IMPHALSENAPATIMANIPUR,KANGPOKPI WARD NO. 8,MANIPUR,SENAPATI,795129,01-07-2001,Services,Micro, 1) 96098,3,5,SENAPATI,08-11-2019,257
