aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8016250,Marthi Tailoring,OBC,Female,No,Proprietary, 1) Phaileng Solomon Prophul Building Phaileng PhailengMAMITMIZORAM,"Phaileng, Mamit",MIZORAM,MAMIT,796431,05-11-2019,Manufacturing,Micro, 1) 14105,3,5,MAMIT,15-11-2019,266
8017945,Suzen Tailoring,ST,Female,No,Proprietary, 1) Chawngtlai Veng Hmartluanga Building Serchhip SerchhipSERCHHIPMIZORAM,"Chawngtlai Veng, Serchhip Mizoram",MIZORAM,SERCHHIP,796181,06-11-2019,Manufacturing,Micro, 1) 14105,3,5,SERCHIP,15-11-2019,268
7981084,Shades Beauty Salon,ST,Female,No,Proprietary, 1) Dawrpui Vankhama Building Dawrpui AizawlAIZAWLMIZORAM,"Dawrpui, Aizawl Mizoram",MIZORAM,AIZAWL,796001,05-11-2019,Services,Micro, 1) 96020,4,5,AIZAWL,11-11-2019,261
8008320,TZI TAILORING,ST,Female,No,Proprietary, 1) LUANGMUAL LALMUANPUII BUILDING LUANGMUAL AIZAWLAIZAWLMIZORAM,"LUANGMUAL, AIZAWL, MIZORAM",MIZORAM,AIZAWL,796009,05-11-2019,Manufacturing,Micro, 1) 14105,3,5,AIZAWL,14-11-2019,261
7954872,Samuel Enterprise ,ST,Female,No,Proprietary, 1) Ground Floor A42 Millennium Centre Dawrpui AizawlAIZAWLMIZORAM,"Ground Floor A42, Dawrpui Aizawl",MIZORAM,AIZAWL,796001,28-05-2008,Services,Micro, 1) 96094,2,5,AIZAWL,07-11-2019,261
7997006,Vl Industry,ST,Female,No,Proprietary, 1) NA VL Industry Durtlang Vengthar AizawlAIZAWLMIZORAM,"F- 109, Jamplus Street, Chanmari",MIZORAM,AIZAWL,796001,25-07-2007,Manufacturing,Small, 1) 11043,35,250,AIZAWL,13-11-2019,261
8092448,Khanpui Multipurpose Cooperative Society Ltd.,ST,Male,No,Co-Operative, 1) 1 Khanpui Khanpui AizawlAIZAWLMIZORAM,Khanpui,MIZORAM,AIZAWL,796017,30-10-1980,Manufacturing,Micro, 1) 66309,1,1,AIZAWL,24-11-2019,261
8060012,Vocational School of Education,ST,Male,No,Proprietary, 1) NA John Rotluangliana Building Chaltlang AizawlAIZAWLMIZORAM,Chaltlang Venglai,MIZORAM,AIZAWL,796012,01-03-2017,Services,Small, 1) 85221; 2) 14109,25,20,AIZAWL,20-11-2019,261
8067184,REBEK ENTERPRISE,ST,Female,No,Proprietary, 1) H NO-031 T LALMUANA AIZAWL AIZAWLAIZAWLMIZORAM,TLANGNUAM,MIZORAM,AIZAWL,796001,01-11-2019,Services,Micro, 1) 96020,1,1,AIZAWL,21-11-2019,261
8077496,TC COMPUTECH,ST,Male,No,Proprietary, 1) Flat 1 Bawngkawn Aizawl AizawlAIZAWLMIZORAM,Bawngkawn Aizawl,MIZORAM,AIZAWL,796014,18-01-2018,Services,Micro, 1) 95111,1,1,AIZAWL,22-11-2019,261
