aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8029913,repalepden Feeds Unit,General,Male,No,Proprietary, 1) H.No.292 Mongsenyimti Village Mongsenyimti MokokchungMOKOKCHUNGNAGALAND,H.No.292Mongsenyimti,NAGALAND,MOKOKCHUNG,798614,15-12-1964,Manufacturing,Micro, 1) 10809,3,1,MOKOKCHUNG,16-11-2019,246
8029984,M/S LI ENTERPRISE,ST,Female,No,Proprietary, 1) H / No. 32 Duncan Bosti Dimapur DimapurDIMAPURNAGALAND,"Duncan Bosti  H / No. 32, Dimapur Nagaland-797112",NAGALAND,DIMAPUR,797112,15-11-2019,Manufacturing,Small, 1) 32909,25,35,Dimapur,16-11-2019,244
7993533,Zatara Pvt. Ltd,General,Female,No,Private Limited Company, 1) GB - 179 Indisen Village Indisen DimapurDIMAPURNAGALAND,"GB-179, Indisen Village, Dimapur ",NAGALAND,DIMAPUR,797113,23-09-2013,Manufacturing,Small, 1) 10305; 2) 10795; 3) 10306,20,40,Dimapur,12-11-2019,244
7996555,Goods carrier service,ST,Male,No,Proprietary, 1) JAKHAMA block House no. 145 SAKHABAMA village KohimaKOHIMANAGALAND,"C/o Kikrocho Yongo, Govt. High School, Sakhabama Village, Kohima : Nagaland",NAGALAND,KOHIMA,797001,10-10-2019,Services,Micro, 1) 52292,1,1,KOHIMA,13-11-2019,245
8060897,VOICE COMMUNE,General,Male,No,Proprietary, 1) H/O. H. ZEALING DHOBI NALA DIMAPUR DIMAPURDIMAPURNAGALAND,"VOICE COMMUNE, T.S. ARCADE, N.L. ROAD, DIMAPUR",NAGALAND,DIMAPUR,797112,14-03-2002,Services,Small, 1) 62099; 2) 61102; 3) 96098,8,60,Dimapur,20-11-2019,244
8075561,semtrack,ST,Male,No,Proprietary, 1) 357 semtrack lhomithi colony dimapurDIMAPURNAGALAND,"semtrack, 357, opp. Pranabananda Women&#39;s College, lhomithi colony",NAGALAND,DIMAPUR,797112,04-02-2019,Services,Micro, 1) 63112; 2) 61209; 3) 33122,3,1,Dimapur,22-11-2019,244
8002244,m/s Longshithung mini saw mill,ST,Male,No,Private Limited Company, 1) liphi village LIPHI VILLLAGE LIPHI LIPHIWOKHANAGALAND,liphi village	LIPHI VILLLAGE	liphi village	LIPHI,NAGALAND,WOKHA,797111,12-12-2016,Services,Micro, 1) 74909,3,2,WOKHA,13-11-2019,250
7967281,Stone crusher unit,ST,Male,No,Proprietary, 1) - Settsu mokokchung mokokchungMOKOKCHUNGNAGALAND,"Settsu , mokokchung- 798601",NAGALAND,MOKOKCHUNG,798601,22-06-2019,Services,Small, 1) 82990,20,30,MOKOKCHUNG,08-11-2019,246
7983971,GREEN FURNITURES ,ST,Male,No,Proprietary, 1) H/NO-159 CHUMUKEDIMA VILLAGE WARD-7 DIMAPURDIMAPURNAGALAND,"H/NO-159,CHUMUKEDIMA VILLAGE,NH-29,WARD-7,DIMAPUR-797103,NAGALAND",NAGALAND,DIMAPUR,797103,05-02-2013,Manufacturing,Micro, 1) 31001,4,3,Dimapur,11-11-2019,244
8109927,Goods Carrier,General,Male,No,Proprietary, 1) H/NO-10 Kezo Town Kohima KohimaKOHIMANAGALAND,Kezo Town,NAGALAND,KOHIMA,797001,05-09-2019,Services,Micro, 1) 49300,2,2,KOHIMA,27-11-2019,245
