aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8018151,ARCIS INC,General,Male,No,Partnership, 1) 25 19-B ANNA NAGAR PONDICHERRYPONDICHERRYPUDUCHERRY,"25, 19-B, SIXTH CROSS EXTENSION, ANNA NAGAR",PUDUCHERRY,PONDICHERRY,605005,01-11-2019,Manufacturing,Micro, 1) 14101,2,1,PUDUCHERRY,15-11-2019,600
8025499,VIMAL STUDIO,General,Male,No,Proprietary, 1) No.129 (329) MG ROAD VIMAL STUDIO Pondicherry PondicherryPONDICHERRYPUDUCHERRY,"No 129 (329) MG Road , Muthiyalpet Puducherry - 605003",PUDUCHERRY,PONDICHERRY,605003,05-06-2016,Services,Micro, 1) 74209,2,7,PUDUCHERRY,16-11-2019,600
8026436,VIMAL STUDIO,General,Male,No,Proprietary, 1) 106 South Annaikarai street Pondicherry PondicherryPONDICHERRYPUDUCHERRY,No 129 (329) MG ROAD MUTHIYALPET PUDUCHERRY,PUDUCHERRY,PONDICHERRY,605003,05-05-2017,Services,Micro, 1) 74209,2,8,PUDUCHERRY,16-11-2019,600
8047755,Chitra fancy store,General,Female,No,Proprietary, 1) 51 - mudaliarpet PondicherryPONDICHERRYPUDUCHERRY,"51, man Kali Amman koil Street, mudaliarpet , Pondicherry,605004",PUDUCHERRY,PONDICHERRY,605004,05-05-2014,Services,Micro, 1) 82990,2,1,PUDUCHERRY,19-11-2019,600
7963987,B.K TRADERS,General,Male,No,Proprietary, 1) 68 OTTAMPALAYAM MAIN ROAD PUDUCHERRY PUDUCHERRYPONDICHERRYPUDUCHERRY,"68, OTTAMPALAYM MAIN ROAD, OTTAMPALAYAM",PUDUCHERRY,PONDICHERRY,605110,21-10-2019,Services,Micro, 1) 56291,3,1,PUDUCHERRY,08-11-2019,600
7991973,ABINAYA TYRE WORKS,OBC,Male,No,Proprietary, 1) 95 KATTAPILLAI MARAIKAYAR THOTTAM KEEZHAIYUR KARAIKALKARAIKALPUDUCHERRY,"140,NAGORE MAIN ROAD,POOSAIMANDAPAM,NERAVY,KARAIKAL",PUDUCHERRY,KARAIKAL,609606,01-01-1992,Services,Micro, 1) 52219,2,5,KARAIKAL,12-11-2019,598
7991630,ESS EM ENTERPRISES,OBC,Male,No,Proprietary, 1) 7 9th CROSS STREET SARAM POST PUDUCHERRYPONDICHERRYPUDUCHERRY,"7, 9th CROSS STREET,BRINDAVANAM,PUDUCHERRY - 605013",PUDUCHERRY,PONDICHERRY,605013,17-12-2004,Manufacturing,Micro, 1) 10799; 2) 56291,2,10,PUDUCHERRY,12-11-2019,600
8006827,IYYARKAI,OBC,Male,No,Proprietary, 1) 3 SUNDARAMOORTHY VINAYAGAPURAM COMPLEX VILLIANUR PUDUCHERRYPONDICHERRYPUDUCHERRY,"NO.3, SUNDARAMOORTHY VINAYAGAR COMPLEX, VILLUPURAM-PONDY MAIN ROAD, VILLIANUR, PUDUCHERRY - 605 110",PUDUCHERRY,PONDICHERRY,605110,15-08-2016,Services,Micro, 1) 10799; 2) 21009,2,2,PUDUCHERRY,14-11-2019,600
8006181,SADANA ENTERPRISE,SC,Male,No,Proprietary, 1) 4 - PIDARIKUPPAM PUDUCHERRYPONDICHERRYPUDUCHERRY,"4, NEW STREET, PIDARIKUPPAM",PUDUCHERRY,PONDICHERRY,605107,05-01-2018,Services,Micro, 1) 96098; 2) 10409; 3) 10739; 4) 11045,2,1,PUDUCHERRY,14-11-2019,600
8043605,SRI VARSH AUTOMATION,OBC,Male,No,Proprietary, 1) NO.08 METTU STREET PONDICHERRY PONDICHERRYPONDICHERRYPUDUCHERRY,"NO.08, METTU STREET, VILLIANUR",PUDUCHERRY,PONDICHERRY,605110,01-07-2017,Services,Micro, 1) 28299,5,5,PUDUCHERRY,18-11-2019,600
