aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8232,AQEEL COMMUNICATIONS,OBC,NA,NA,Proprietary,NA,9-90/1 OPP MRO OFFICE KALWAKURTHY ROAD BADEPALLY JADCHERLA MAHABUB NAGAR,TELANGANA,MAHABUBNAGAR,509301,01/02/2015,Services,Micro, 1) 62099,3,3.00,MAHABUBNAGAR,15/10/2015,512
8234,MEKA PUNNAIAH,SC,NA,NA,Proprietary,NA,"H NO 1-3-435, MAITRI NAGAR, ROAD NO 11, SBH 3RD VENTURE, BACKSIDE PREAM GARDEN, CHINTALAKUNTA, SAROORNAGAR[M], RANGAREDDY DISTRICT, PIN-500074",TELANGANA,RANGA REDDI,500074,15/10/2015,Services,Micro, 1) 49224,2,10.00,RANGAREDDY,15/10/2015,518
8345,AMAR BIO ORGANICS INDIA PVT LTD,General,NA,NA,Private Limited Company,NA,"SY. NO.850 &amp; 851, INDUSTRIAL AREA MEDCHAL",TELANGANA,RANGA REDDI,501401,22/03/2015,Manufacturing,Small, 1) 32909,16,50.00,RANGAREDDY,15/10/2015,518
8400,M/S. BREWEDIN &amp; BLENDON BEVERAGES.,OBC,Male,No,Proprietary, 1) 7-1-155/d19/a NEAR RAILWAY OVER BRIDGE SRINAGAR COLONY NALGONDANALGONDATELANGANA,"7-1-155/d19/a, NEAR RAILWAY OVER BRIDGE,SRINAGAR COLONY, PANAGAL ROAD, NALGONDA",TELANGANA,NALGONDA,508001,15/10/2015,Manufacturing,Micro, 1) 11045,22,25.00,NALGONDA,15/10/2015,514
8483,M/S. MALLIKARJUNASWAMY EARTH MOVERS.,SC,NA,NA,Proprietary,NA,"H.NO.3-15, PANDENAPALLY(V), KATTANGOOR(M), NALGONDA(D), T.S.",TELANGANA,NALGONDA,508205,01/10/2015,Manufacturing,Small, 1) 28243,3,26.00,NALGONDA,15/10/2015,514
8500,M/S.GUDIPATI CONSTRUCTIONS,SC,NA,NA,Proprietary,NA,"H NO 5-74,PLOT NO 600,SRI RAM NAGAR COLONY,PUPPALAGUDA,MANIKONDA,RAJENDRANAGAR MANDAL.",TELANGANA,RANGA REDDI,500087,31/08/2015,Manufacturing,Small, 1) 42909,30,30.00,RANGAREDDY,15/10/2015,518
8504,M/s. SRI TIRUMALA ENTERPRISES,OBC,NA,NA,Proprietary,NA,"PLOT NO: 16, SY NO: 215, VIMANAPURI COLONY, QUTUBULLAPUR MANDAL, RANGAREDDY DIST",TELANGANA,RANGA REDDI,500055,15/10/2015,Services,Micro, 1) 47219,2,6.00,RANGAREDDY,15/10/2015,518
8513,SL GRAPHICS,ST,Male,No,Proprietary, 1) 1-3-515 Plot No. 236 Uppal HyderabadMEDCHAL MALKAJGIRITELANGANA,"Shop No.20, Sri Dattasai Commercial Complex, RTC &#39;X&#39; Roads, Hyderabad",TELANGANA,HYDERABAD,500020,06/06/2001,Manufacturing,Micro, 1) 82191; 2) 82192; 3) 63992; 4) 50219; 5) 32901; 6) 17093,2,10.00,HYDERABAD,15/10/2015,507
8529,M/S.  SAMANTHA TAILORS.,SC,NA,NA,Proprietary,NA,"H.NO. 3-140, KOTHAPALLY(V), ANUMULA(M), NALGONDA(D), T.S.",TELANGANA,NALGONDA,508377,15/10/2015,Manufacturing,Micro, 1) 14105,10,5.00,NALGONDA,15/10/2015,514
8545,JEEVIKA LIFE SCIENCES PRIVATE LIMITED,General,NA,NA,Private Limited Company,NA,"PLOT NO 27/B,SVCIE,IDA JEEDIMETLA,QUTTUBULLAPUR",TELANGANA,RANGA REDDI,500055,15/10/2015,Manufacturing,Small, 1) 21001,50,500.00,RANGAREDDY,15/10/2015,518
