aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
8025857,Chakrabarty Caring Center,General,Male,No,Proprietary, 1) UTTAR CHANDRAPUR UTTARCHANDRA MATARBARI UDAIPURGOMATITRIPURA,NH08,TRIPURA,GOMATI,799013,01-06-2019,Manufacturing,Micro, 1) 96098,2,8,"DIC, Gomati",16-11-2019,654
8028228,Biswakarma Bamboo Handicrafts,General,Male,No,Proprietary, 1) Ward No-6 Panchayet Para Purba Nalchar NalcharSEPAHIJALATRIPURA,"Panchayet Para, Near Panchayet Office,Purba Nalchar",TRIPURA,SEPAHIJALA,799115,01-04-2017,Manufacturing,Micro, 1) 16294,2,1,SEPAHIJALA,16-11-2019,653
8089271,M/S. MUKHARJEE PAVER BLOCK & TILES,General,Male,No,Proprietary, 1) 1 NOABADI PURBA BARJALA JIRANIAWEST TRIPURATRIPURA,"PROP. SUJIT MUKHARJEE, JIRANIA BLOCK CHOWMUHANI, A.A.ROAD, JIRANIA, WEST TRIPURA, 799045",TRIPURA,WEST TRIPURA,799045,01-11-2019,Manufacturing,Micro, 1) 23952; 2) 23954; 3) 23955; 4) 23959,7,15,WEST TRIPURA,23-11-2019,272
7965408,MAA  TRIPURESWARI  ENTERPRISE,General,Male,No,Proprietary, 1) Siddhi Ashram Siddhi Ashram Siddhi Ashram AgartalaWEST TRIPURATRIPURA,"Siddhi Ashram, Station Road,",TRIPURA,WEST TRIPURA,799003,01-11-2019,Manufacturing,Micro, 1) 24109,5,2,WEST TRIPURA,08-11-2019,272
8043907,ASIAN TIMES INFO,General,Male,No,Proprietary, 1) BARDOWALI NEAR CID OFFICE BARDOWALI AGARTALAWEST TRIPURATRIPURA,"Bardowali, Agartala, Tripura West",TRIPURA,WEST TRIPURA,799003,17-11-2019,Services,Micro, 1) 63122; 2) 63910; 3) 60200,20,5,WEST TRIPURA,18-11-2019,272
8044337,Radharani led manufacture,OBC,Female,No,Proprietary, 1) Dhaleswar Dhaleswar a.a road agartala opp taru shagha colb Dhaleswar AgartalaWEST TRIPURATRIPURA,DHALESWAR,TRIPURA,WEST TRIPURA,799007,01-10-2019,Manufacturing,Micro, 1) 32909,1,2,WEST TRIPURA,18-11-2019,272
8045055,M/S SAMPAT MAL BAID,General,Male,No,Proprietary," 1) BAID PROPERTY SAKUNTALA ROAD , AGARTALA, W. TRIPURA-799001 WEST TRIPURA WEST TRIPURAWEST TRIPURATRIPURA","SUKANTALA ROAD, AGARTALA , TRIPURA[W]-799001 ",TRIPURA,WEST TRIPURA,799001,01-04-1965,Services,Small, 1) 96098,9,23,WEST TRIPURA,19-11-2019,272
7995118,Asha The Departmental Store,General,Male,No,Proprietary, 1) Ramnagar 6/7 near Durga Chowmuhani Agartala Tripura westWEST TRIPURATRIPURA,"TG Road, Ramnagar 6/7 near Durga Chowmuhani, Agartala Tripura west- 799001",TRIPURA,WEST TRIPURA,799001,13-05-2013,Services,Small, 1) 82990,5,20,West Tripura,13-11-2019,272
8050483,Rahaman Electronics Solution,OBC,Male,No,Proprietary," 1) - - Halhali, Kamalpur, DhalaiDHALAITRIPURA","Halhali, Kamalpur, Dhalai, Tripura-798286",TRIPURA,DHALAI,798286,02-01-2017,Services,Micro, 1) 82990,2,1,"District Industries Centre,Dhala",19-11-2019,269
8050780,HELAL UDDIN,General,Male,No,Proprietary, 1) NIL KALAGANGERPAR KADAMTALA DHARMANAGARNORTH TRIPURATRIPURA,"KALAGANGERPAR, KADAMTALA, DHARMANAGAR",TRIPURA,NORTH TRIPURA,799261,01-10-2019,Manufacturing,Micro, 1) 23921,15,25,NORTH TRIPURA,19-11-2019,270
